BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0001264	BGC0001264	Neocamarosporium betae genes for putative dehydrogenase, putative FAD binding domain protein, short-chain dehydrogenase, zinc-binding dehydrogenase family protein, cytochrome P450, polyketide synthase, hypothetical proteins, complete cds	T1PKS	PKSI	Neocamarosporium betae	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Neocamarosporium
BGC0001266	BGC0001266	Cladonia grayi metabolic gene cluster, complete sequence	T1PKS	PKSI	Cladonia grayi	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,OSLEUM clade,Lecanoromycetidae,Lecanorales,Lecanorineae,Cladoniaceae,Cladonia
BGC0001273	BGC0001273	Aspergillus ochraceus clone 2 MSAS-type polyketide synthase gene, complete cds	T1PKS	PKSI	Aspergillus ochraceus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0001275	BGC0001275	Glarea lozoyensis polyketide syntase 2 (pks2) gene, complete cds	T1PKS	PKSI	Glarea lozoyensis	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Helotiaceae,Glarea
BGC0001276	BGC0001276	Aspergillus terreus atX gene for 6-methylsalicylic acid synthase, complete cds	T1PKS	PKSI	Aspergillus terreus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0001281	BGC0001281	Ustilago maydis 521 chromosome 23, whole genome shotgun sequence	T1PKS	PKSI	Ustilago maydis 521	Eukaryota,Fungi,Dikarya,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago
BGC0001284	BGC0001284	Phaeosphaeria nodorum SN15 polyketide synthase mRNA, complete cds	T1PKS	PKSI	Parastagonospora nodorum SN15	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Phaeosphaeriaceae,Parastagonospora
BGC0001293	BGC0001293	Streptomyces sp. NCIB 11649 CLD biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. NCIB 11649	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001296	BGC0001296	Streptomyces sp. MSC090213JE08 DNA, streptazone E biosynthetic gene cluster	T1PKS	PKSI	Streptomyces sp. MSC090213JE08	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001298	BGC0001298	Streptomyces calvus strain ATCC 13382 phosphohistidine phosphatase, hypothetical protein, Ann1, Ann2, Ann3, Ann4, Ann5, multidrug MFS transporter, and ATP-dependent DNA helicase genes, complete cds	T1PKS	PKSI	Streptomyces calvus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001303	BGC0001303	Micromonospora sp. RL09-050-HVF-A lobosamide biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Micromonospora sp. RL09-050-HVF-A	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,unclassified Micromonospora
BGC0001304	BGC0001304	Aspergillus flavus NRRL3357 scf_1106286419142 genomic scaffold, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus flavus NRRL3357	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0001305	BGC0001305	Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr08	T1PKS	PKSI	Fusarium fujikuroi IMI 58289	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0001330	BGC0001330	Micromonospora sp. RV43 contig4_size105044, whole genome shotgun sequence	T1PKS.terpene.NRPS-like	Others	Micromonospora sp. RV43	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,unclassified Micromonospora
BGC0001338	BGC0001338	Monascus ruber isolate M7 citrinin biosynthesis gene cluster, partial sequence	T1PKS	PKSI	Monascus ruber	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Monascus
BGC0001339	BGC0001339	Phoma sp. MF5453 transcription factor (mfL3) gene, partial cds; and squalestatin S1 gene cluster, complete sequence	T1PKS.terpene	Others	Phoma sp. MF5453	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Didymellaceae,Phoma
BGC0001340	BGC0001340	Paecilomyces fulvus strain IMI40021 byssochlamic acid and agnestadrides biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Paecilomyces fulvus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Thermoascaceae,Paecilomyces
BGC0001348	BGC0001348	Streptomyces varsoviensis strain NRRL ISP-5346 contig33.1, whole genome shotgun sequence	T1PKS	PKSI	Streptomyces varsoviensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001349	BGC0001349	Streptomyces sp. SCSIO 03032 methyltransferase and transcriptional regulator genes, complete cds; heronamide biosynthetic gene cluster, complete sequence; and hypothetical protein and transcriptional regulator genes, complete cds	T1PKS	PKSI	Streptomyces marincola	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001360	BGC0001360	Penicillium roqueforti FM164 genomic scaffold, ProqFM164S05, whole genome shotgun sequence	T1PKS	PKSI	Penicillium roqueforti FM164	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0001373	BGC0001373	Sordaria araneosa DNA, contains sdnA, sdnB, sdnC, sdnD, sdnE, sdnF, sdnG, sdnH, sdnI, sdnJ, sdnK, sdnL, sdnM, sdnN, sdnO, sdnP, sdnQ, sdnR, sdnS, sdnT gene cluster, strain: ATCC 36386	T1PKS.terpene	Others	Sordaria araneosa	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Sordariaceae,Sordaria
BGC0001377	BGC0001377	Streptomyces uncialis strain DCA2648	T1PKS	PKSI	Streptomyces uncialis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001378	BGC0001378	Streptomyces sp. CB03234	T1PKS	PKSI	Streptomyces sp. CB03234	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001396	BGC0001396	Streptomyces sp. A1(2016) biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. A1(2016)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001400	BGC0001400	Aspergillus terreus NIH2624 scaffold_15 genomic scaffold, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0001403	BGC0001403	Aspergillus fumigatus Af293 chromosome 4, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus fumigatus Af293	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Fumigati
BGC0001404	BGC0001404	Penicillium chrysogenum Wisconsin 54-1255 complete genome, contig Pc00c21	T1PKS	PKSI	Penicillium rubens Wisconsin 54-1255	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum species complex
BGC0001405	BGC0001405	Chaetomium globosum CBS 148.51 scaffold_5 genomic scaffold, whole genome shotgun sequence	T1PKS	PKSI	Chaetomium globosum CBS 148.51	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Chaetomium
BGC0001433	BGC0001433	Streptomyces argillaceus argimycin P biosynthesis gene cluster	T1PKS	PKSI	Streptomyces argillaceus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001435	BGC0001435	Streptomyces sp. ZJ306 hydroxylase, deacetylase, and hypothetical proteins genes, complete cds; ikarugamycin gene cluster, complete sequence; and GCN5-related N-acetyltransferase, hypothetical protein, asparagine synthase, transcriptional regulator, ABC transporter, hypothetical proteins, putative membrane transport protein, putative acetyltransferase, cytochrome P450, putative alpha-glucosidase, phosphoketolase, helix-turn-helix domain-containing protein, membrane protein, NAD-dependent epimerase/dehydratase, RNA polymerase, sigma-24 subunit, and hypothetical proteins genes, complete cds	NRPS.T1PKS.lassopeptide	Others	Streptomyces sp. ZJ306	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001446	BGC0001446	Aspergillus flavus NRRL3357 scf_1106286418772 genomic scaffold, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus flavus NRRL3357	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0001447	BGC0001447	Saccharomonospora azurea SZMC 14600 contig216, whole genome shotgun sequence	T1PKS	PKSI	Saccharomonospora azurea SZMC 14600	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora
BGC0001452	BGC0001452	Streptomyces sp. CS149 genomic DNA containing Sipanmycin biosynthesis gene cluster region	oligosaccharide.T1PKS	Others	Streptomyces sp. CS149	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001489	BGC0001489	Cladonia uncialis subsp. uncialis clone SPAdes28 genomic sequence, sequence	T1PKS	PKSI	Cladonia uncialis subsp. uncialis	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Lecanoromycetes,OSLEUM clade,Lecanoromycetidae,Lecanorales,Lecanorineae,Cladoniaceae,Cladonia
BGC0001492	BGC0001492	Streptomyces sp. LC-6-2 abs biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. LC-6-2	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001495	BGC0001495	Actinoallomurus fulvus K09-0307 DNA, Actinoallolide biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Actinoallomurus fulvus	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus
BGC0001504	BGC0001504	Amycolatopsis sp. AA4 chromosome, complete genome	T1PKS	PKSI	Amycolatopsis sp. AA4	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis
BGC0001508	BGC0001508	Penicillium roqueforti strain CECT 2905 andrastin A biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Penicillium roqueforti	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0001522	BGC0001522	Streptomyces filamentosus strain NRRL 15998 auroramycin biosynthetic gene cluster, complete sequence	oligosaccharide.T1PKS	Others	Streptomyces filamentosus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001523	BGC0001523	Streptomyces sp. 211726 azalomycin F biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. 211726	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001533	BGC0001533	Streptomyces rochei borrelidin gene cluster, partial sequence	T1PKS	PKSI	Streptomyces rochei	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces rochei group
BGC0001537	BGC0001537	Streptomyces sp. NBRC 110030, whole genome shotgun sequence	T1PKS	PKSI	Streptomyces sp. NBRC 110030	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001541	BGC0001541	Cercospora beticola strain 09-40 chromosome 1, whole genome shotgun sequence	T1PKS	PKSI	Cercospora beticola	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora
BGC0001542	BGC0001542	Cercospora zeina CTB gene cluster and oxidoreductase (CTB7) pseudogene, partial sequence	T1PKS	PKSI	Cercospora zeina	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora
BGC0001578	BGC0001578	Talaromyces stipitatus ATCC 10500 scf_1105507295527 genomic scaffold, whole genome shotgun sequence	T1PKS	PKSI	Talaromyces stipitatus ATCC 10500	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sect. Talaromyces
BGC0001580	BGC0001580	Streptomyces aburaviensis Ebelactone biosynthetic gene cluster, strain ATCC31860	T1PKS.terpene	Others	Kitasatospora aburaviensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
BGC0001583	BGC0001583	TPA_exp: Escovopsis weberi emodin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Escovopsis weberi	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Escovopsis
BGC0001597	BGC0001597	Actinomadura fulva subsp. indica genomic DNA, fluvirucin biosynthetic genes, complete sequence, strain: ATCC 53714	T1PKS	PKSI	Actinomadura fulva subsp. indica	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0001598	BGC0001598	Streptomyces diastatochromogenes strain Tue6028	T1PKS	PKSI	Streptomyces diastatochromogenes	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001606	BGC0001606	Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr11	T1PKS	PKSI	Fusarium fujikuroi IMI 58289	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0001619	BGC0001619	Streptomyces sp. WAC2288 ibomycin biosynthesis gene cluster, partial sequence	oligosaccharide.T1PKS	Others	Streptomyces sp. WAC2288	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001620	BGC0001620	Streptomyces atratus Gcn5-related-N-acetyltransferase, ArsR family transcriptional regulator, pyruvate phosphate dikinase, transcriptional regulator, and TetR family transcriptional regulator genes, complete cds; ilamycin gene cluster, complete sequence; and porphobilinogen deaminase 2, porphobilinogen deaminase, phosphoglycerate mutase, and hypothetical protein genes, complete cds	indole.NRPS.T1PKS	Others	Streptomyces atratus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001648	BGC0001648	Streptomyces sp. strain FXJ1.172 lasalocid biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001649	BGC0001649	Streptomyces lavendulae FRI-5 DNA, lav gene cluster	T1PKS	PKSI	Streptomyces lavendulae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001653	BGC0001653	Microbispora sp. GMKU363 strain GMKU 363, whole genome shotgun sequence	T1PKS	PKSI	Microbispora sp. GMKU363	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Microbispora
BGC0001658	BGC0001658	Amycolatopsis sp. M39 A4R44_contig000005, whole genome shotgun sequence	T1PKS	PKSI	Amycolatopsis sp. M39	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis
BGC0001662	BGC0001662	Kitasatospora mediocidica cle biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Kitasatospora mediocidica	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
BGC0001670	BGC0001670	Streptomyces virginiae strain ST021 monensin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces virginiae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001677	BGC0001677	Penicillium roqueforti strain CBS221.30 mycophenolic acid biosynthesis gene cluster, partial sequence	T1PKS	PKSI	Penicillium roqueforti	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0001694	BGC0001694	Streptomyces koyangensis neoabyssomincin/abyssomicinbiosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces koyangensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces aurantiacus group
BGC0001700	BGC0001700	Streptomyces sp. IMB7-145	T1PKS	PKSI	Streptomyces sp. IMB7-145	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001708	BGC0001708	Aspergillus novofumigatus IBT 16806 P174scaffold_14, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus novofumigatus IBT 16806	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0001709	BGC0001709	Streptomyces albulus nystatin gene cluster, complete sequence; and hypothetical protein genes, complete cds	T1PKS	PKSI	Streptomyces albulus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001719	BGC0001719	Streptomyces olivaceus strain SCSIO T05 olimycin biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Streptomyces olivaceus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001720	BGC0001720	Beauveria bassiana ARSEF 2860 unplaced genomic scaffold BBA_S00032, whole genome shotgun sequence	T1PKS	PKSI	Beauveria bassiana ARSEF 2860	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Beauveria
BGC0001722	BGC0001722	TPA_asm: Aspergillus nidulans FGSC A4 chromosome VI	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
BGC0001729	BGC0001729	Penicillium brasilianum DNA, paraherquonin biosynthetic gene cluster, complete sequence, strain: NBRC 6234	T1PKS	PKSI	Penicillium brasilianum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0001742	BGC0001742	Candidatus Streptomyces philanthi bv. triangulum strain 23Af2 piericidin biosynthesic gene cluster, complete sequence	T1PKS	PKSI	Candidatus Streptomyces philanthi bv. triangulum	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001749	BGC0001749	Magnaporthe oryzae 70-15 chromosome 3, whole genome shotgun sequence	T1PKS	PKSI	Pyricularia oryzae 70-15	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Magnaporthales,Pyriculariaceae,Pyricularia
BGC0001755	BGC0001755	Streptomyces sp. strain OUC6819 rdm biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001763	BGC0001763	Streptomyces atratus DNA, ruf gene cluster for biosynthesis of rufomycin	indole.NRPS.T1PKS	Others	Streptomyces atratus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001770	BGC0001770	Streptomyces sp. SD85 sceliphrolactam biosynthesic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. SD85	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001773	BGC0001773	Pseudonocardia sp. HH130630-07 plasmid pLS2-1, complete sequence	T1PKS	PKSI	Pseudonocardia sp. HH130630-07	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,unclassified Pseudonocardia
BGC0001784	BGC0001784	Streptomyces seoulensis strain A01 streptoseomycin gene cluster, complete sequence	T1PKS	PKSI	Streptomyces seoulensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001800	BGC0001800	Candidatus Entotheonella serta isolate TSWB1 polyketide synthase (tnaA), polyketide synthase (tnaB), polyketide synthase / nonribosomal peptide synthase hybrid (tnaC), putative dioxygenase (tnaD), putative nonribosomal peptide synthase (tnaE), nonribosomal peptide synthase (tnaF), putative monooxygenase (tnaG), nonribosomal peptide synthase-like protein (tnaE), glycosyltransferase (tnaI), DUF2063-containing hypothetical protein, hypothetical protein, putative dehydrogenase, and transport protein genes, complete cds; and transport protein gene, partial cds	RiPP-like.NRPS.T1PKS	Others	Candidatus Entotheonella serta	Bacteria,Nitrospinae/Tectomicrobia group,Candidatus Tectomicrobia,Candidatus Entotheonella
BGC0001812	BGC0001812	Micromonospora chalcea subsp. izumensis strain ATCC 21561 juvenimicin/rosamicin/M-4365/izenamicin gene cluster, complete sequence	T1PKS	PKSI	Micromonospora chalcea subsp. izumensis	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0001827	BGC0001827	Sarocladium sp. 'schorii' xenovulene biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Sarocladium sp. 'schorii'	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Sarocladiaceae,Sarocladium,unclassified Sarocladium
BGC0001828	BGC0001828	Streptomyces griseus strain HKI0741 zincophorin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Streptomyces griseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001830	BGC0001830	Salinispora mooreana strain CNS-237 spr gene cluster, complete sequence	T1PKS	PKSI	Salinispora mooreana	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0001854	BGC0001854	Trichoderma harzianum strain T6776 Scaffolds0220.1, whole genome shotgun sequence	T1PKS	PKSI	Trichoderma harzianum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Trichoderma
BGC0001858	BGC0001858	Parastagonospora nodorum SN15 scaffold_8, whole genome shotgun sequence	T1PKS	PKSI	Parastagonospora nodorum SN15	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Phaeosphaeriaceae,Parastagonospora
BGC0001865	BGC0001865	Parastagonospora nodorum SN15 chromosome Unknown scaffold_13, whole genome shotgun sequence	T1PKS	PKSI	Parastagonospora nodorum SN15	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Phaeosphaeriaceae,Parastagonospora
BGC0001866	BGC0001866	Paecilomyces variotii strain CBS 101075 chromosome Unknown C8Q69scaffold_14, whole genome shotgun sequence	T1PKS	PKSI	Paecilomyces variotii	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Thermoascaceae,Paecilomyces
BGC0001874	BGC0001874	Aspergillus flavus strain CA28 cyclopiazonic acid gene cluster, complete sequence	indole.NRPS.T1PKS	Others	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0001877	BGC0001877	Streptomyces sp. ISID311 NODE_1_length_870511_cov_42.204497, whole genome shotgun sequence	butyrolactone.PKS-like.oligosaccharide.T1PKS.NRPS-like	Others	Streptomyces sp. ISID311	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001886	BGC0001886	Claviceps purpurea 20.1 WGS project CAGA00000000 data, contig scaffold00034, whole genome shotgun sequence	T1PKS	PKSI	Claviceps purpurea 20.1	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps
BGC0001892	BGC0001892	Botrytis cinerea B05.10 chromosome BCIN01, complete sequence	T1PKS	PKSI	Botrytis cinerea B05.10	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
BGC0001899	BGC0001899	Leptosphaeria maculans JN3 lm_SuperContig_11_v2 genomic supercontig, whole genome, isolate v23.1.3	T1PKS	PKSI	Leptosphaeria maculans JN3	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Leptosphaeriaceae,Leptosphaeria,Leptosphaeria maculans species complex
BGC0001906	BGC0001906	Daldinia eschscholzii IFB-TL01 unplaced genomic scaffold scaffold_20, whole genome shotgun sequence	T1PKS	PKSI	Daldinia eschscholzii IFB-TL01	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Daldinia
BGC0001907	BGC0001907	Daldinia eschscholzii IFB-TL01 unplaced genomic scaffold scaffold_36, whole genome shotgun sequence	T1PKS	PKSI	Daldinia eschscholzii IFB-TL01	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Daldinia
BGC0001909	BGC0001909	Strobilurus tenacellus strobilurin gene cluster, partial sequence	T1PKS	PKSI	Strobilurus tenacellus	Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Strobilurus
BGC0001913	BGC0001913	Fungal sp. ATCC 74256 DNA, phiA, phiB, phiC, phiD, phiE, phiF, phiG, phiH, phiI, phiJ, phiK, phiL, phiM, phiN, phiO gene cluster	T1PKS	PKSI	fungal sp. ATCC 74256	Eukaryota,Fungi
BGC0001926	BGC0001926	Talaromyces verruculosus TPU1311 chrodrimanin B biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Talaromyces verruculosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sect. Talaromyces
BGC0001931	BGC0001931	KR 1020180093083-A/1: CARRIMYCIN BIOSYNTHETIC GENE CLUSTER	oligosaccharide.T1PKS	Others	unidentified unclassified sequences.	
